,DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,0.8,0.9,0,0.8,0.7,0.7,0.7,0.0,0.6,0.0,0.6,0.9,0.9,0,211.0,0.9591,124.0,0.5636,0.8863636363636364,0.0,0.8714285714285714,0.5714285714285714,1.0,0.56
1,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.7,0,1.0,0.9,0.9,0.8,0.8,0.9,0.9,0.9,1.0,0.9,0,211.0,0.9591,197.0,0.8955,1.0,0.9269999999999999,0.8714285714285714,0.9285714285714286,1.0,0.88
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0.8,0.6,0.5,0.9,0.7,1.0,1.0,1.0,0.9,0,220.0,1.0,178.0,0.8090999999999999,1.0,0.905,1.0,0.9571428571428572,1.0,0.74
3,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.9,0.9,0.8,0,0.7,0.7,0.6,0.6,0.7,0.7,0.0,0.0,0.9,0.7,0,208.0,0.9455,131.0,0.5955,0.9318181818181818,0.0,0.8285714285714286,0.45714285714285713,1.0,0.66
4,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0,0.7,1.0,0.8,0.7,0.8,0.7,0.9,0.9,0.9,1.0,0,215.0,0.9773,176.0,0.8,1.0,0.889,0.9285714285714286,0.9285714285714286,1.0,0.74
5,1.0,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.9,1.0,0,0.9,0.9,0.7,0.6,0.6,0.7,0.8,1.0,0.9,0.9,0,209.0,0.95,167.0,0.7591,1.0,0.8550000000000001,0.9285714285714286,0.8857142857142857,0.96,0.7
6,0.9,1.0,0.9,0.9,1.0,0.8,0.9,0.9,0.9,1.0,0,0.8,0.8,0.5,0.5,0.7,0.6,0.7,0.9,0.9,1.0,0,203.0,0.9227000000000001,152.0,0.6909,1.0,0.807,0.8857142857142857,0.8428571428571429,0.94,0.62
7,1.0,1.0,1.0,0.9,1.0,0.9,0.8,1.0,0.7,0.4,0,0.6,0.7,0.6,0.6,0.8,0.7,0.7,0.7,1.0,0.8,0,202.0,0.9182,155.0,0.7045,1.0,0.8109999999999999,0.7857142857142857,0.8,0.98,0.66
8,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9,1.0,0.9,0,0.9,0.9,0.8,0.8,0.9,1.0,1.0,0.9,1.0,1.0,0,212.0,0.9635999999999999,200.0,0.9090999999999999,1.0,0.9359999999999999,0.8857142857142857,0.9714285714285714,1.0,0.88
9,1.0,1.0,1.0,0.9,1.0,0.9,0.9,1.0,1.0,0.9,0,1.0,0.8,0.6,0.5,0.9,0.8,1.0,0.9,0.9,0.9,0,212.0,0.9635999999999999,178.0,0.8090999999999999,1.0,0.8859999999999999,0.9285714285714286,0.9142857142857143,0.98,0.76
10,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0,0.5,0.7,0.4,0.6,0.8,0.7,0.9,1.0,0.9,0.9,0,215.0,0.9773,152.0,0.6909,1.0,0.834,0.9714285714285714,0.8857142857142857,0.98,0.6
11,1.0,1.0,0.7,0.9,1.0,0.9,0.7,0.9,0.8,0.9,0,0.5,0.5,0.6,0.5,0.5,0.0,0.5,0.0,0.9,0.9,0,196.0,0.8909,105.0,0.47729999999999995,0.9090909090909091,0.0,0.8285714285714286,0.6,0.92,0.42
12,1.0,0.9,1.0,0.9,1.0,0.9,0.8,1.0,0.9,0.9,0,0.9,0.7,0.4,0.6,0.7,0.7,0.7,0.8,0.9,0.8,0,206.0,0.9364000000000001,154.0,0.7,1.0,0.818,0.8857142857142857,0.7857142857142857,0.96,0.66
13,0.8,0.8,0.9,0.7,0.9,0.6,0.8,1.0,0.9,0.9,0,0.4,0.8,0.4,0.7,0.7,0.4,0.7,0.9,1.0,1.0,0,179.0,0.8135999999999999,139.0,0.6317999999999999,1.0,0.7230000000000001,0.8,0.8714285714285714,0.82,0.52
14,1.0,0.9,0.9,0.9,1.0,0.8,0.7,1.0,0.8,0.9,0,0.9,0.8,0.6,0.5,0.5,0.5,0.7,0.8,0.8,0.7,0,198.0,0.9,143.0,0.65,1.0,0.775,0.8142857142857143,0.7571428571428571,0.94,0.6
15,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0,0.9,0.8,0.7,0.5,0.7,0.6,0.9,1.0,1.0,0.8,0,214.0,0.9727,166.0,0.7545,1.0,0.8640000000000001,0.9142857142857143,0.9142857142857143,1.0,0.68
16,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.7,0,0.7,0.9,0.8,0.7,0.6,0.7,0.9,0.8,0.9,0.9,0,213.0,0.9682000000000001,167.0,0.7591,1.0,0.8640000000000001,0.9,0.8857142857142857,1.0,0.7
17,1.0,1.0,1.0,0.9,1.0,1.0,0.8,0.9,0.8,0.9,0,0.8,0.7,0.7,0.6,0.6,0.7,0.7,1.0,1.0,0.9,0,209.0,0.95,162.0,0.7363999999999999,1.0,0.843,0.8857142857142857,0.8571428571428571,0.98,0.68
18,0.9,1.0,0.9,1.0,1.0,0.7,0.8,1.0,1.0,0.9,0,0.7,0.7,0.6,0.7,0.5,0.5,0.6,0.7,1.0,0.9,0,203.0,0.9227000000000001,145.0,0.6591,1.0,0.791,0.8428571428571429,0.7857142857142857,0.96,0.6
19,0.9,1.0,0.9,0.9,1.0,0.9,0.7,1.0,0.9,0.9,0,0.7,0.8,0.8,0.7,0.8,0.6,0.6,0.8,0.9,0.9,0,201.0,0.9136,163.0,0.7409,1.0,0.827,0.8571428571428571,0.7857142857142857,0.94,0.72
20,0.9,0.9,0.8,0.8,1.0,0.9,0.8,0.9,0.9,0.9,0,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.0,0,193.0,0.8773,195.0,0.8864000000000001,1.0,0.882,0.8714285714285714,0.9428571428571428,0.88,0.86
21,1.0,0.9,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.8,0,0.7,0.7,0.6,0.6,0.7,0.7,0.9,0.9,1.0,0.9,0,207.0,0.9409000000000001,162.0,0.7363999999999999,1.0,0.8390000000000001,0.9,0.9,0.96,0.66
22,1.0,1.0,0.9,0.9,1.0,0.8,0.7,1.0,0.9,1.0,0,0.4,0.8,0.4,0.7,0.7,0.4,0.6,0.8,0.8,0.9,0,203.0,0.9227000000000001,131.0,0.5955,1.0,0.759,0.8428571428571429,0.7571428571428571,0.96,0.52
23,1.0,1.0,0.8,0.9,1.0,0.8,0.9,0.9,1.0,0.9,0,0.9,0.9,0.7,0.7,0.7,0.6,0.9,0.7,0.9,0.9,0,203.0,0.9227000000000001,169.0,0.7682,1.0,0.845,0.8857142857142857,0.8714285714285714,0.94,0.72
24,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0,1.0,0,1.0,0.9,0.9,0.7,0.8,0.8,1.0,0.9,1.0,1.0,0,217.0,0.9864,194.0,0.8817999999999999,1.0,0.9339999999999999,0.9571428571428572,0.9714285714285714,1.0,0.84
25,1.0,1.0,1.0,0.9,1.0,0.9,0.9,0.9,1.0,0.8,0,1.0,0.9,0.8,0.8,0.9,0.8,1.0,1.0,0.9,0.9,0,210.0,0.9545,195.0,0.8864000000000001,1.0,0.9199999999999999,0.9,0.9428571428571428,0.98,0.86
26,1.0,1.0,0.9,0.9,1.0,0.8,0.9,1.0,0.9,1.0,0,0.9,0.9,0.4,0.6,0.6,0.8,0.9,0.7,0.9,0.9,0,207.0,0.9409000000000001,160.0,0.7273,1.0,0.834,0.9,0.8714285714285714,0.96,0.66
27,1.0,0.9,1.0,1.0,1.0,0.8,0.8,0.9,0.9,0.8,0,1.0,0.7,0.7,0.8,0.6,0.6,0.8,0.8,0.9,0.8,0,205.0,0.9318,168.0,0.7636000000000001,1.0,0.8480000000000001,0.8285714285714286,0.8142857142857143,0.98,0.74
28,1.0,0.9,0.9,0.9,1.0,0.9,0.8,0.9,0.9,0.9,0,0.9,0.8,0.6,0.8,0.9,0.8,1.0,0.7,0.9,0.9,0,202.0,0.9182,182.0,0.8272999999999999,1.0,0.873,0.8714285714285714,0.8857142857142857,0.94,0.8
