,ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS.1,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
0,0.9,1.0,1.0,1.0,0.4,0.9,0.9,0.9,0.8,0,1.0,0.7,0.7,1.0,0.6,0.8,0.6,0.8,0.9,0.9,1.0,0.8,0.9,0,203.0,0.9227000000000001,169.0,0.7682,1.0,0.845,0.7666666666666667,0.9142857142857143,0.98125,0.7
1,0.9,1.0,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0,1.0,0.7,0.8,0.9,0.7,0.8,0.6,0.8,1.0,0.9,0.9,0.7,0.9,0,211.0,0.9591,171.0,0.7773,1.0,0.868,0.9,0.9,0.98125,0.72
2,0.9,1.0,1.0,1.0,0.6,1.0,0.9,0.7,0.9,0,1.0,0.9,0.6,0.9,0.4,0.7,0.4,0.8,0.9,0.9,0.9,0.8,0.8,0,207.0,0.9409000000000001,147.0,0.6682,1.0,0.805,0.8333333333333334,0.8571428571428571,0.98125,0.58
3,0.9,1.0,1.0,1.0,0.4,0.7,0.6,0.8,0.8,0,1.0,0.8,0.8,0.9,0.9,0.7,0.6,0.8,0.8,0.8,0.9,0.9,0.7,0,198.0,0.9,173.0,0.7864,1.0,0.843,0.6833333333333333,0.8,0.98125,0.78
4,1.0,1.0,1.0,1.0,0.6,0.8,1.0,0.9,0.9,0,1.0,1.0,0.7,1.0,0.7,0.8,0.6,0.9,0.8,0.9,0.8,0.9,0.9,0,212.0,0.9635999999999999,173.0,0.7864,1.0,0.875,0.8666666666666667,0.8857142857142857,1.0,0.74
5,1.0,1.0,1.0,1.0,0.8,0.9,1.0,1.0,1.0,0,1.0,1.0,0.7,0.9,0.8,0.9,0.6,0.8,0.9,0.9,0.9,0.9,0.9,0,217.0,0.9864,179.0,0.8135999999999999,1.0,0.9,0.95,0.8857142857142857,1.0,0.78
6,0.8,1.0,0.8,0.8,0.6,0.9,0.9,0.7,0.9,0,0.5,0.7,0.5,0.8,0.0,0.0,0.0,0.7,0.8,0.4,0.8,0.7,0.7,0,169.0,0.7682,85.0,0.38639999999999997,0.7954545454545454,0.0,0.7833333333333333,0.7,0.7625,0.24
7,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.8,0.9,0,1.0,0.8,0.8,0.9,0.8,0.8,0.6,0.9,0.9,0.9,1.0,0.9,0.9,0,211.0,0.9591,181.0,0.8227,1.0,0.891,0.85,0.9142857142857143,1.0,0.78
8,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.8,1.0,0,1.0,1.0,0.7,0.9,0.5,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.7,0,214.0,0.9727,163.0,0.7409,1.0,0.857,0.95,0.8285714285714286,0.98125,0.7
9,0.9,1.0,1.0,1.0,0.6,0.7,0.9,0.8,0.9,0,0.9,0.6,0.4,0.8,0.0,0.0,0.0,0.7,0.9,0.7,0.8,0.7,0.7,0,198.0,0.9,86.0,0.39089999999999997,0.7954545454545454,0.0,0.75,0.7571428571428571,0.95625,0.22
10,0.9,1.0,1.0,1.0,0.7,1.0,0.9,0.6,0.9,0,1.0,1.0,0.6,0.9,0.4,0.6,0.4,0.9,0.8,0.8,0.7,0.8,0.8,0,208.0,0.9455,141.0,0.6409,1.0,0.7929999999999999,0.85,0.8142857142857143,0.98125,0.56
11,0.9,1.0,1.0,1.0,0.8,0.9,1.0,0.7,0.9,0,1.0,0.9,0.6,1.0,0.8,0.8,0.6,0.9,0.9,0.7,0.9,0.9,0.9,0,209.0,0.95,173.0,0.7864,1.0,0.868,0.8666666666666667,0.8857142857142857,0.98125,0.74
12,0.9,1.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,0,1.0,1.0,0.7,0.9,0.4,0.5,0.4,0.8,0.8,0.8,0.7,0.7,0.8,0,211.0,0.9591,137.0,0.6227,1.0,0.791,0.9,0.8,0.98125,0.54
13,0.9,1.0,1.0,1.0,0.4,0.7,1.0,0.9,0.9,0,1.0,1.0,0.8,0.9,0.6,0.5,0.6,0.8,0.7,0.7,0.9,0.7,0.8,0,206.0,0.9364000000000001,152.0,0.6909,1.0,0.8140000000000001,0.8166666666666667,0.8,0.98125,0.64
14,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0,1.0,1.0,0.9,0.9,0.8,0.9,0.7,0.8,0.9,0.8,0.9,0.9,0.9,0,212.0,0.9635999999999999,187.0,0.85,1.0,0.907,0.9166666666666666,0.8714285714285714,0.98125,0.84
15,0.9,1.0,1.0,1.0,0.6,0.8,0.9,0.5,0.9,0,1.0,0.9,0.6,0.9,0.6,0.6,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0,203.0,0.9227000000000001,147.0,0.6682,1.0,0.795,0.7666666666666667,0.8142857142857143,0.98125,0.6
