DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,30,30,30,30,18,16,10,8,9,0,24,7,21,21,0,18,0,6,18,9,0,211.0,9.591,124.0,5.636,39,0
30,30,30,30,30,18,18,9,9,7,0,30,9,27,24,24,27,18,9,20,9,0,211.0,9.591,197.0,8.955,44,9.27
30,30,30,30,30,20,20,10,10,10,0,30,8,18,15,27,21,20,10,20,9,0,220.0,10.0,178.0,8.091,44,9.05
30,30,30,30,30,16,16,9,9,8,0,21,7,18,18,21,21,0,0,18,7,0,208.0,9.455,131.0,5.955,41,0
30,30,30,30,30,18,20,9,9,9,0,21,10,24,21,24,21,18,9,18,10,0,215.0,9.773,176.0,8.0,44,8.89
30,27,27,30,30,18,18,10,9,10,0,27,9,21,18,18,21,16,10,18,9,0,209.0,9.5,167.0,7.591,44,8.55
27,30,27,27,30,16,18,9,9,10,0,24,8,15,15,21,18,14,9,18,10,0,203.0,9.227,152.0,6.909,44,8.07
30,30,30,27,30,18,16,10,7,4,0,18,7,18,18,24,21,14,7,20,8,0,202.0,9.182,155.0,7.045,44,8.11
30,30,30,30,30,18,16,9,10,9,0,27,9,24,24,27,30,20,9,20,10,0,212.0,9.636,200.0,9.091,44,9.36
30,30,30,27,30,18,18,10,10,9,0,30,8,18,15,27,24,20,9,18,9,0,212.0,9.636,178.0,8.091,44,8.86
27,30,30,30,30,20,18,10,10,10,0,15,7,12,18,24,21,18,10,18,9,0,215.0,9.773,152.0,6.909,44,8.34
30,30,21,27,30,18,14,9,8,9,0,15,5,18,15,15,0,10,0,18,9,0,196.0,8.909,105.0,4.773,40,0
30,27,30,27,30,18,16,10,9,9,0,27,7,12,18,21,21,14,8,18,8,0,206.0,9.364,154.0,7.0,44,8.18
24,24,27,21,27,12,16,10,9,9,0,12,8,12,21,21,12,14,9,20,10,0,179.0,8.136,139.0,6.318,44,7.23
30,27,27,27,30,16,14,10,8,9,0,27,8,18,15,15,15,14,8,16,7,0,198.0,9.0,143.0,6.5,44,7.75
30,30,30,30,30,18,18,9,10,9,0,27,8,21,15,21,18,18,10,20,8,0,214.0,9.727,166.0,7.545,44,8.64
30,30,30,30,30,18,18,10,10,7,0,21,9,24,21,18,21,18,8,18,9,0,213.0,9.682,167.0,7.591,44,8.64
30,30,30,27,30,20,16,9,8,9,0,24,7,21,18,18,21,14,10,20,9,0,209.0,9.5,162.0,7.364,44,8.43
27,30,27,30,30,14,16,10,10,9,0,21,7,18,21,15,15,12,7,20,9,0,203.0,9.227,145.0,6.591,44,7.91
27,30,27,27,30,18,14,10,9,9,0,21,8,24,21,24,18,12,8,18,9,0,201.0,9.136,163.0,7.409,44,8.27
27,27,24,24,30,18,16,9,9,9,0,27,9,24,24,27,27,18,9,20,10,0,193.0,8.773,195.0,8.864,44,8.82
30,27,30,27,30,18,18,9,10,8,0,21,7,18,18,21,21,18,9,20,9,0,207.0,9.409,162.0,7.364,44,8.39
30,30,27,27,30,16,14,10,9,10,0,12,8,12,21,21,12,12,8,16,9,0,203.0,9.227,131.0,5.955,44,7.59
30,30,24,27,30,16,18,9,10,9,0,27,9,21,21,21,18,18,7,18,9,0,203.0,9.227,169.0,7.682,44,8.45
30,30,30,30,30,18,20,9,10,10,0,30,9,27,21,24,24,20,9,20,10,0,217.0,9.864,194.0,8.818,44,9.34
30,30,30,27,30,18,18,9,10,8,0,30,9,24,24,27,24,20,10,18,9,0,210.0,9.545,195.0,8.864,44,9.20
30,30,27,27,30,16,18,10,9,10,0,27,9,12,18,18,24,18,7,18,9,0,207.0,9.409,160.0,7.273,44,8.34
30,27,30,30,30,16,16,9,9,8,0,30,7,21,24,18,18,16,8,18,8,0,205.0,9.318,168.0,7.636,44,8.48
30,27,27,27,30,18,16,9,9,9,0,27,8,18,24,27,24,20,7,18,9,0,202.0,9.182,182.0,8.273,44,8.73
30,30,30,27,30,18,16,10,10,10,0,24,8,12,18,18,12,14,9,18,9,0,211.0,9.591,142.0,6.455,44,8.02
27,30,30,30,30,20,18,9,10,9,0,21,8,18,18,18,21,14,9,18,9,0,213.0,9.682,154.0,7.0,44,8.34
30,27,30,27,30,16,18,10,9,8,0,27,9,18,21,18,18,14,9,18,9,0,205.0,9.318,161.0,7.318,44,8.32
30,30,30,27,30,18,16,9,10,8,0,21,7,21,18,18,18,12,8,16,9,0,208.0,9.455,148.0,6.727,44,8.09
30,27,24,21,30,18,16,9,10,9,0,18,8,18,21,21,12,14,8,20,10,0,194.0,8.818,150.0,6.818,44,7.82
30,30,30,30,30,18,20,10,10,10,0,30,9,21,18,24,15,18,10,18,9,0,218.0,9.909,172.0,7.818,44,8.86
