ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
27,30,30,30,4,9,9,9,8,0,40,7,21,10,18,24,18,8,9,9,10,24,18,0,203.0,9.227,169.0,7.682,44,8.45
27,30,30,30,9,10,9,10,9,0,40,7,24,9,21,24,18,8,10,9,9,21,18,0,211.0,9.591,171.0,7.773,44,8.68
27,30,30,30,6,10,9,7,9,0,40,9,18,9,12,21,12,8,9,9,9,24,16,0,207.0,9.409,147.0,6.682,44,8.05
27,30,30,30,4,7,6,8,8,0,40,8,24,9,27,21,18,8,8,8,9,27,14,0,198.0,9.0,173.0,7.864,44,8.43
30,30,30,30,6,8,10,9,9,0,40,10,21,10,21,24,18,9,8,9,8,27,18,0,212.0,9.636,173.0,7.864,44,8.75
30,30,30,30,8,9,10,10,10,0,40,10,21,9,24,27,18,8,9,9,9,27,18,0,217.0,9.864,179.0,8.136,44,9.00
24,30,24,24,6,9,9,7,9,0,20,7,15,8,0,0,0,7,8,4,8,21,14,0,169.0,7.682,85.0,3.864,35,0
30,30,30,30,8,8,10,8,9,0,40,8,24,9,24,24,18,9,9,9,10,27,18,0,211.0,9.591,181.0,8.227,44,8.91
27,30,30,30,9,10,10,8,10,0,40,10,21,9,15,21,21,8,9,9,9,27,14,0,214.0,9.727,163.0,7.409,44,8.57
27,30,30,30,6,7,9,8,9,0,36,6,12,8,0,0,0,7,9,7,8,21,14,0,198.0,9.0,86.0,3.909,35,0
27,30,30,30,7,10,9,6,9,0,40,10,18,9,12,18,12,9,8,8,7,24,16,0,208.0,9.455,141.0,6.409,44,7.93
27,30,30,30,8,9,10,7,9,0,40,9,18,10,24,24,18,9,9,7,9,27,18,0,209.0,9.5,173.0,7.864,44,8.68
27,30,30,30,10,8,10,6,10,0,40,10,21,9,12,15,12,8,8,8,7,21,16,0,211.0,9.591,137.0,6.227,44,7.91
27,30,30,30,4,7,10,9,9,0,40,10,24,9,18,15,18,8,7,7,9,21,16,0,206.0,9.364,152.0,6.909,44,8.14
30,30,30,27,9,9,9,9,9,0,40,10,27,9,24,27,21,8,9,8,9,27,18,0,212.0,9.636,187.0,8.5,44,9.07
27,30,30,30,6,8,9,5,9,0,40,9,18,9,18,18,12,8,8,8,8,24,16,0,203.0,9.227,147.0,6.682,44,7.95
15,21,30,24,6,8,9,9,9,0,32,9,15,9,12,15,18,8,9,8,9,24,14,0,172.0,7.818,141.0,6.409,44,7.11
30,30,30,30,9,9,10,9,10,0,40,10,24,10,21,24,18,9,9,9,8,27,18,0,217.0,9.864,177.0,8.045,44,8.95
24,30,30,27,6,7,10,9,9,0,40,9,24,9,18,24,18,8,9,7,7,24,14,0,201.0,9.136,162.0,7.364,44,8.25
27,30,30,30,9,9,10,10,9,0,40,9,21,9,18,24,24,7,9,8,8,24,14,0,213.0,9.682,166.0,7.545,44,8.61
27,30,30,30,7,10,8,10,9,0,40,8,21,9,24,18,18,8,9,9,9,27,14,0,209.0,9.5,166.0,7.545,44,8.52
27,30,30,30,6,9,10,6,10,0,40,10,18,9,18,18,15,9,7,8,8,24,16,0,208.0,9.455,150.0,6.818,44,8.14
27,30,30,30,7,9,10,4,9,0,40,9,21,9,24,24,12,8,9,9,8,24,18,0,205.0,9.318,166.0,7.545,44,8.43
27,30,30,30,8,9,10,9,9,0,40,9,27,9,24,18,18,9,8,8,8,27,18,0,211.0,9.591,174.0,7.909,44,8.75
30,30,30,30,9,9,10,9,9,0,40,9,18,9,18,21,18,8,8,8,8,24,16,0,215.0,9.773,156.0,7.091,44,8.43
30,30,30,30,6,9,10,9,10,0,40,10,24,10,24,27,18,9,9,8,9,27,18,0,214.0,9.727,183.0,8.318,44,9.02
27,30,30,27,7,8,10,8,10,0,40,9,24,10,18,12,18,9,9,8,8,27,14,0,206.0,9.364,157.0,7.136,44,8.25
27,30,30,24,9,9,9,9,9,0,40,9,15,9,18,21,21,8,8,9,9,24,14,0,205.0,9.318,156.0,7.091,44,8.20
27,30,30,30,8,9,10,9,9,0,40,9,18,9,15,18,24,8,7,7,7,12,14,0,211.0,9.591,139.0,6.318,44,7.95
24,30,30,30,4,8,8,9,9,0,40,9,0,9,0,0,0,8,8,6,7,18,14,0,201.0,9.136,70.0,3.182,32,0
24,30,30,30,7,8,10,7,9,0,40,10,18,9,15,21,12,7,7,7,6,21,14,0,205.0,9.318,137.0,6.227,44,7.77
27,30,30,27,10,9,7,8,7,0,40,6,12,8,0,0,18,6,7,6,9,15,16,0,201.0,9.136,97.0,4.409,38,0
30,30,30,30,7,9,10,9,10,0,40,10,21,9,27,27,18,9,8,8,8,27,16,0,215.0,9.773,178.0,8.091,44,8.93
27,30,30,27,9,9,10,9,9,0,40,9,21,8,18,21,15,7,8,9,9,21,16,0,209.0,9.5,153.0,6.955,44,8.23
24,30,30,30,4,8,8,9,9,0,40,9,15,9,18,21,15,6,9,9,8,18,14,0,201.0,9.136,142.0,6.455,44,7.80
30,30,30,30,8,9,10,9,9,0,40,10,21,9,21,21,18,9,9,7,9,27,18,0,215.0,9.773,169.0,7.682,44,8.73
24,30,30,30,9,9,9,8,9,0,40,9,18,9,18,24,12,7,9,5,9,21,16,0,207.0,9.409,148.0,6.727,44,8.07
27,30,30,30,8,9,10,7,10,0,40,9,21,8,15,21,21,7,8,8,9,21,14,0,210.0,9.545,153.0,6.955,44,8.25
21,18,18,18,8,9,9,6,7,0,36,6,12,9,0,0,12,7,9,5,7,18,14,0,156.0,7.091,93.0,4.227,38,0
27,30,30,30,8,9,10,7,9,0,40,10,24,10,15,18,21,9,9,7,7,27,16,0,210.0,9.545,163.0,7.409,44,8.48
27,30,30,30,6,8,9,9,9,0,40,10,27,10,27,27,18,8,9,7,8,30,18,0,208.0,9.455,189.0,8.591,44,9.02
30,30,30,27,7,9,10,8,9,0,36,10,24,9,27,24,21,9,9,8,7,24,16,0,206.0,9.364,178.0,8.091,44,8.73
27,30,30,30,6,7,10,6,9,0,40,9,15,9,0,21,12,8,9,7,7,21,14,0,204.0,9.273,123.0,5.591,41,0
27,30,30,30,8,9,9,7,9,0,40,9,24,9,21,24,12,8,8,8,8,21,14,0,208.0,9.455,157.0,7.136,44,8.30
21,27,30,24,7,9,9,8,9,0,32,8,12,9,0,18,12,7,8,7,8,21,16,0,184.0,8.364,118.0,5.364,41,0
21,30,24,24,6,7,9,9,9,0,32,7,0,8,0,15,0,7,9,5,7,18,14,0,178.0,8.091,83.0,3.773,35,0
30,30,30,30,8,7,10,9,9,0,40,9,18,9,18,18,21,8,8,7,9,24,16,0,212.0,9.636,156.0,7.091,44,8.36
24,30,27,27,6,9,10,7,7,0,40,6,15,9,0,0,18,7,8,8,4,18,16,0,193.0,8.773,103.0,4.682,38,0
30,30,30,30,9,10,10,8,10,0,40,9,24,10,24,24,21,9,9,9,10,24,14,0,216.0,9.818,178.0,8.091,44,8.95
30,30,30,27,5,8,5,8,9,0,40,7,24,8,15,0,18,6,8,8,7,12,14,0,199.0,9.045,120.0,5.455,41,0
30,30,30,30,7,10,9,9,9,0,40,9,24,9,18,21,24,8,8,10,8,24,14,0,213.0,9.682,168.0,7.636,44,8.66
24,30,30,30,9,8,9,9,9,0,40,10,21,9,21,15,18,8,9,9,10,24,16,0,208.0,9.455,160.0,7.273,44,8.36
27,30,30,30,7,9,10,6,8,0,36,8,18,8,15,18,12,6,9,6,9,24,14,0,201.0,9.136,139.0,6.318,44,7.73
27,30,30,30,8,9,10,6,10,0,40,10,21,9,21,24,18,9,9,9,7,24,18,0,210.0,9.545,169.0,7.682,44,8.61
30,30,27,27,8,9,9,10,9,0,36,10,18,9,24,30,18,8,9,8,8,24,16,0,205.0,9.318,172.0,7.818,44,8.57
30,30,30,30,8,9,10,9,10,0,40,10,24,8,21,18,21,7,8,6,7,18,14,0,216.0,9.818,152.0,6.909,44,8.36
27,30,30,30,9,8,10,9,10,0,40,10,18,9,15,15,12,8,8,8,8,18,16,0,213.0,9.682,135.0,6.136,44,7.91
30,30,30,30,8,9,10,9,9,0,40,10,27,9,24,24,18,9,9,9,9,27,18,0,215.0,9.773,183.0,8.318,44,9.05
27,30,30,27,4,9,9,9,9,0,40,10,24,9,18,21,15,8,9,7,7,24,18,0,204.0,9.273,160.0,7.273,44,8.27
18,27,30,21,4,7,7,0,6,0,0,4,24,8,21,24,24,7,8,0,0,12,12,0,124.0,5.636,140.0,6.364,37,0
30,30,30,30,7,9,10,6,9,0,40,10,18,9,18,24,12,8,8,6,7,21,16,0,211.0,9.591,147.0,6.682,44,8.14
24,30,30,30,6,8,10,8,7,0,40,8,21,9,21,18,24,7,8,8,7,21,16,0,201.0,9.136,160.0,7.273,44,8.20
27,27,30,27,10,10,10,10,10,0,40,10,27,10,24,24,18,10,10,8,10,30,18,0,211.0,9.591,189.0,8.591,44,9.09
27,30,30,27,6,8,10,5,9,0,40,10,21,9,18,18,12,8,7,6,7,24,16,0,202.0,9.182,146.0,6.636,44,7.91
30,30,30,30,9,8,10,7,9,0,40,10,24,10,21,21,18,9,9,8,9,24,14,0,213.0,9.682,167.0,7.591,44,8.64
