DISCRETE MATHEMATICS,DISCRETE MATHEMATICS,LOGIC DESIGN & COMP. ORG.,DATA STRUCTURES & ALGO.,OBJECT ORIENTED PROGRAMMING,BASIC OF COMPUTER NETWORK,LOGIC DESIGN COMP. ORG. LAB,DATA STRUCTURES & ALGO. LAB,OBJECT ORIENTED PROG. LAB,SOFT SKILL LAB,AUDIT COURSE,ENGINEERING MATHEMATICS-III,ENGINEERING MATHEMATICS-III,PROCESSOR ARCHITECTURE,DATABASE MANAGEMENT SYSTEM,COMPUTER GRAPHICS,SOFTWARE ENGINEERING,PROG. SKILL DEVELOPMENT LAB,DATABASE MGMT. SYSTEM LAB,COMPUTER GRAPHICS LAB,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,10,30,30,30,30,10,20,18,9,0,21,10,21,21,24,21,7,18,9,18,0,217.0,9.864,170.0,7.727,44,8.80
24,8,27,27,30,27,7,14,14,8,0,24,10,24,24,24,21,6,18,7,18,0,186.0,8.455,176.0,8.0,44,8.23
30,10,30,30,30,30,9,18,18,9,0,24,10,0,0,21,12,7,16,7,18,0,214.0,9.727,115.0,5.227,38,0
30,9,27,30,30,30,10,20,18,9,0,30,10,18,21,27,21,10,18,9,20,0,213.0,9.682,184.0,8.364,44,9.02
27,10,30,27,30,30,9,18,16,9,0,21,10,18,12,21,15,7,18,5,18,0,206.0,9.364,145.0,6.591,44,7.98
24,10,27,27,30,30,9,18,20,10,0,15,10,15,18,21,15,8,18,10,20,0,205.0,9.318,150.0,6.818,44,8.07
27,9,27,30,30,27,8,16,18,8,0,24,9,18,18,27,21,8,18,8,18,0,200.0,9.091,169.0,7.682,44,8.39
27,10,30,27,30,30,9,20,18,9,0,21,9,12,21,21,18,6,18,8,16,0,210.0,9.545,150.0,6.818,44,8.18
30,10,30,27,30,30,9,18,16,9,0,0,9,0,12,0,0,4,18,5,16,0,209.0,9.5,64.0,2.909,32,0
30,8,30,30,30,30,9,20,18,10,0,27,10,15,18,27,24,9,18,9,20,0,215.0,9.773,177.0,8.045,44,8.91
24,8,27,24,27,27,8,16,14,8,0,27,9,18,21,15,18,7,12,9,14,0,183.0,8.318,150.0,6.818,44,7.57
27,9,27,30,30,30,7,18,18,9,0,24,10,24,24,27,21,7,20,9,18,0,205.0,9.318,184.0,8.364,44,8.84
30,10,30,27,30,27,9,18,18,8,0,30,10,18,18,24,18,8,18,8,18,0,207.0,9.409,170.0,7.727,44,8.57
27,8,27,27,30,30,8,18,14,9,0,24,10,0,15,18,0,7,16,5,16,0,198.0,9.0,111.0,5.045,38,0
30,10,30,30,30,30,9,20,18,9,0,30,10,21,21,24,21,9,20,9,18,0,216.0,9.818,183.0,8.318,44,9.07
30,9,30,30,30,30,9,18,16,8,0,18,9,12,15,21,12,8,18,9,16,0,210.0,9.545,138.0,6.273,44,7.91
